,U:0,U:1,,,arc_length,p,velMag
,-0.0047962,3.2794,,,6.0723,1.2786,3.27940350727605
,-0.0048887,3.2824,,,6.1413,1.2691,3.28240364053352
,-0.0049645,3.2853,,,6.2103,1.2597,3.28530375098867
,-0.0050121,3.2881,,,6.2793,1.2508,3.28810382000727
,-0.0050524,3.2909,,,6.3484,1.2419,3.2909038783814
,-0.0050855,3.2937,,,6.4174,1.2331,3.29370392602466
,-0.0051114,3.2965,,,6.4864,1.2242,3.2965039627475
,-0.0051301,3.2992,,,6.5554,1.2153,3.29920398852905
,-0.0051415,3.302,,,6.6244,1.2065,3.30200400287799
,-0.0051436,3.3046,,,6.6934,1.198,3.30460400299657
,-0.0051312,3.3072,,,6.7624,1.1898,3.30720398058744
,-0.005106,3.3099,,,6.8314,1.1816,3.30990393836981
,-0.0050746,3.3125,,,6.9004,1.1734,3.31250388702642
,-0.0050372,3.3151,,,6.9694,1.1652,3.31510382693873
,-0.0049935,3.3178,,,7.0384,1.1571,3.31780375776541
,-0.0049437,3.3204,,,7.1074,1.1489,3.320403680303
,-0.0048705,3.3229,,,7.1764,1.1412,3.32290356943596
,-0.0047849,3.3253,,,7.2454,1.1336,3.32530344258505
,-0.0046937,3.3278,,,7.3144,1.1261,3.3278033101161
,-0.0045972,3.3302,,,7.3834,1.1186,3.3302031731184
,-0.0044951,3.3326,,,7.4524,1.111,3.33260303155416
,-0.0043874,3.335,,,7.5214,1.1035,3.33500288594759
,-0.0042743,3.3375,,,7.5904,1.096,3.33750273702367
,-0.0041557,3.3397,,,7.6594,1.089,3.339702585537
,-0.0040323,3.342,,,7.7284,1.082,3.34200243259087
,-0.0039044,3.3443,,,7.7974,1.075,3.34430227915172
,-0.0037721,3.3465,,,7.8664,1.068,3.34650212591273
,-0.0036352,3.3488,,,7.9354,1.061,3.34880197304634
,-0.0034937,3.351,,,8.0044,1.054,3.3510018212379
,-0.0033479,3.3533,,,8.0734,1.0471,3.35330167125393
,-0.0031618,3.3554,,,8.1425,1.0405,3.35540148968484
,-0.0029691,3.3575,,,8.2115,1.0339,3.35750131281505
,-0.0027722,3.3597,,,8.2805,1.0273,3.35970114371693
,-0.0025712,3.3618,,,8.3495,1.0207,3.3618009832632
,-0.0023658,3.3639,,,8.4185,1.0142,3.36390083192261
,-0.0021563,3.3661,,,8.4875,1.0076,3.36610069065524
,-0.0019417,3.3682,,,8.5565,1.0011,3.36820055967558
,-0.0016992,3.3704,,,8.6255,0.99474,3.37040042832905
,-0.0014532,3.3725,,,8.6945,0.98843,3.37250031308972
,-0.0012044,3.3746,,,8.7635,0.98212,3.37460021492611
,-0.0009528,3.3768,,,8.8325,0.97581,3.37680013442132
,-0.00069847,3.3789,,,8.9015,0.96949,3.37890007219218
,-0.00044144,3.381,,,8.9705,0.96318,3.38100002881829
,-0.0001816,3.3832,,,9.0395,0.95686,3.38320000487387
,0.00015937,3.3853,,,9.1085,0.95068,3.38530000375134
,0.00050946,3.3873,,,9.1775,0.94451,3.38730003831215
,0.00086241,3.3894,,,9.2465,0.93834,3.38940010971721
,0.0012183,3.3915,,,9.3155,0.93215,3.39150021881982
,0.0015772,3.3936,,,9.3845,0.92596,3.3936003665075
,0.0019389,3.3957,,,9.4535,0.91976,3.39570055354314
,0.0023036,3.3978,,,9.5225,0.91356,3.39780078088356
,0.0027359,3.3999,,,9.5915,0.90739,3.39990110078938
,0.0031843,3.4019,,,9.6605,0.90122,3.40190149030898
,0.003636,3.404,,,9.7295,0.89504,3.40400194190544
,0.0040909,3.4061,,,9.7985,0.88885,3.406102456689
,0.0045489,3.4082,,,9.8675,0.88264,3.40820303569069
,0.00501,3.4102,,,9.9366,0.87642,3.41020368014874
,0.0054743,3.4123,,,10.006,0.87019,3.41230439116449
,0.0060494,3.4144,,,10.075,0.86391,3.41440535895203
,0.0066796,3.4165,,,10.144,0.8576,3.41650652963757
,0.0073141,3.4186,,,10.213,0.85127,3.41860782425519
,0.0079526,3.4207,,,10.282,0.84492,3.42070924427183
,0.0085936,3.4228,,,10.351,0.83853,3.42281078792868
,0.0092368,3.425,,,10.42,0.83209,3.42501245522907
,0.0098835,3.4271,,,10.489,0.82563,3.42711425160765
,0.010602,3.4292,,,10.558,0.81907,3.42921638897343
,0.011401,3.4313,,,10.627,0.81239,3.43131894069919
,0.012204,3.4334,,,10.696,0.80568,3.43342168945441
,0.013011,3.4356,,,10.765,0.79894,3.43562463696502
,0.013821,3.4377,,,10.834,0.79218,3.43772778300449
,0.014635,3.4399,,,10.903,0.78538,3.43993113204683
,0.015453,3.442,,,10.972,0.77856,3.44203468826347
,0.016324,3.4442,,,11.041,0.77164,3.44423868408913
,0.017401,3.4465,,,11.11,0.76443,3.44654392758906
,0.018484,3.4487,,,11.179,0.75719,3.44874953399866
,0.019574,3.451,,,11.248,0.7499,3.45105551121334
,0.020671,3.4532,,,11.317,0.74258,3.45326186818217
,0.021775,3.4555,,,11.386,0.73522,3.45556860742556
,0.022885,3.4578,,,11.455,0.72782,3.45787572987015
,0.024002,3.46,,,11.524,0.72039,3.46008324986611
,0.025288,3.4624,,,11.593,0.71249,3.46249234554302
,0.026601,3.4648,,,11.662,0.70448,3.46490211307636
,0.027916,3.4673,,,11.731,0.69642,3.46741237712736
,0.029234,3.4697,,,11.8,0.68831,3.46982315352757
,0.030554,3.4721,,,11.869,0.68016,3.47223443288554
,0.031877,3.4746,,,11.938,0.67196,3.47474622139934
,0.033202,3.4771,,,12.007,0.66371,3.47725851538306
,0.034719,3.4796,,,12.076,0.65507,3.47977320654105
,0.036397,3.4817,,,12.145,0.64588,3.48189023830577
,0.038079,3.4838,,,12.214,0.63662,3.48400810134549
,0.039768,3.4859,,,12.283,0.62729,3.48612683415621
,0.041463,3.488,,,12.352,0.61789,3.48824643343457
,0.043164,3.4901,,,12.421,0.60843,3.49036690634323
,0.044871,3.4923,,,12.49,0.5989,3.49258825180424
,0.046585,3.4944,,,12.559,0.58929,3.49471050621149
,0.048535,3.4968,,,12.628,0.57859,3.49713681262615
,0.050486,3.4992,,,12.697,0.5678,3.49956418375146
,0.052437,3.5016,,,12.766,0.55693,3.50199260407114
,0.054389,3.5041,,,12.835,0.54596,3.50452207487997
,0.05634,3.5066,,,12.904,0.53491,3.50705257382891
,0.058292,3.5091,,,12.973,0.52377,3.50958413024449
,0.060244,3.5116,,,13.042,0.51254,3.51211672635407
,0.06247,3.5143,,,13.111,0.50055,3.51485518775667
,0.065033,3.5172,,,13.18,0.48762,3.51780117844784
,0.067599,3.5202,,,13.249,0.47457,3.52084899772782
,0.070168,3.5231,,,13.318,0.4614,3.52379868298744
,0.07274,3.5261,,,13.387,0.44812,3.52685019778272
,0.075316,3.5292,,,13.456,0.43472,3.53000356088432
,0.077895,3.5322,,,13.525,0.4212,3.53305879812734
,0.080477,3.5353,,,13.594,0.40757,3.53621586410233
,0.08348,3.5392,,,13.663,0.39203,3.54018439497154
,0.086566,3.5434,,,13.732,0.37598,3.54445725497656
,0.089655,3.5476,,,13.801,0.35976,3.54873270041926
,0.092814,3.5497,,,13.87,0.34321,3.55091319643215
,0.095991,3.552,,,13.939,0.3265,3.55329681733471
,0.099186,3.5545,,,14.008,0.30963,3.55588359097932
,0.1024,3.5571,,,14.077,0.29262,3.55857361452591
,0.10608,3.5599,,,14.146,0.27485,3.56148016650381
,0.11232,3.5629,,,14.215,0.25349,3.56466999768562
,0.11864,3.5659,,,14.284,0.23172,3.56787307223786
,0.12503,3.5689,,,14.353,0.20956,3.57108942913784
,0.13149,3.5719,,,14.422,0.18701,3.57431940795727
,0.13802,3.5748,,,14.491,0.16406,3.57746342544546
,0.14463,3.5778,,,14.56,0.14072,3.58072208875528
,0.1513,3.5807,,,14.629,0.11698,3.58389511286254
,0.15963,3.584,,,14.698,0.092389,3.58755316851193
,0.17039,3.5877,,,14.767,0.066974,3.59174387200702
,0.18115,3.5914,,,14.836,0.04156,3.59596569540089
,0.18889,3.5955,,,14.905,0.014724,3.60045826001358
,0.19354,3.6,,,14.974,-0.013566,3.60519870903117
,0.19819,3.6046,,,15.043,-0.041856,3.61004438145849
,0.20076,3.6093,,,15.112,-0.069181,3.61487912212843
,0.20163,3.6142,,,15.181,-0.095717,3.61981992603223
,0.20578,3.621,,,15.25,-0.1348,3.62684248464143
,0.20758,3.6344,,,15.319,-0.19684,3.64032317471952
,0.20838,3.651,,,15.388,-0.26748,3.65694178575487
,0.21569,3.639,,,15.457,-0.30843,3.64538656058586
,0.2276,3.6396,,,15.526,-0.32099,3.64670946470925
,0.24485,3.6425,,,15.595,-0.32247,3.65072017176064
,0.25794,3.6496,,,15.664,-0.34482,3.65870376002212
,0.29539,3.6306,,,15.733,-0.34975,3.64259682261158
,0.31497,3.6155,,,15.802,-0.35969,3.62919362267984
,0.33194,3.6095,,,15.871,-0.36518,3.62473094361499
,0.35057,3.6072,,,15.94,-0.3673,3.62419524376102
,0.37919,3.5985,,,16.009,-0.36462,3.61842331770344
,0.37856,3.5813,,,16.078,-0.35157,3.60125219383481
,0.38807,3.5716,,,16.147,-0.35056,3.59262089356781
,0.3984,3.5672,,,16.216,-0.34847,3.58937855345462
,0.40967,3.5671,,,16.285,-0.34464,3.59054757925584
,0.42209,3.5619,,,16.354,-0.33436,3.58682193286759
,0.43285,3.5628,,,16.423,-0.32745,3.58899748711252
,0.44153,3.5564,,,16.492,-0.32739,3.58370335001378
,0.45001,3.5543,,,16.561,-0.32731,3.58267462799791
,0.45881,3.5514,,,16.63,-0.32487,3.58091448880031
,0.46837,3.5445,,,16.699,-0.31858,3.57531127412705
,0.47767,3.5451,,,16.768,-0.3135,3.57713609454547
,0.4869,3.5471,,,16.837,-0.3088,3.58036171636331
,0.49633,3.5427,,,16.906,-0.30312,3.5772988076061
,0.50268,3.5317,,,16.975,-0.29232,3.56729478350192
,0.50896,3.5248,,,17.044,-0.28145,3.5613558263111
,0.51598,3.5248,,,17.113,-0.27192,3.56236584314413
,0.52374,3.5318,,,17.182,-0.26374,3.57042221979418
,0.53046,3.533,,,17.251,-0.25574,3.5726008469461
,0.53459,3.5185,,,17.32,-0.24642,3.55888026183798
,0.53941,3.5088,,,17.389,-0.238,3.55001980108562
,0.54493,3.5039,,,17.458,-0.23048,3.54602085652355
,0.55115,3.5036,,,17.527,-0.22386,3.5466856757401
